Timestamp,What are the 4 OOP principles? Write a line about each.[5 marks],Marks 
11-17-2022 15:54:34,"Polymorphism: The capacity of one object or reference variable to refer to many actual types is referred to as polymorphism. Inheritance: In object-oriented programming (OOP), inheritance refers to 'is-a' type relations, which permit children or subclasses to utilise the properties and functions of their parent classes.",2
11-18-2022 15:54:34,"The term ""inheritance"" in the context of object-oriented programming (OOP) refers to ""is-a"" type relations, which allow children or subclasses to make use of the features and capabilities of their parent classes.",1
11-19-2022 15:54:34,"Data and behaviour are combined into a single package through encapsulation, which also shields consumers of the object from knowing how it was implemented. One object or reference variable's capacity to refer to a variety of actual types is referred to as polymorphism. Inheritance: In OOP, inheritance refers to ""is-a"" type relationships that permit children or subclasses to utilise the methods and properties of their parent classes.",3
11-20-2022 15:54:34,"The OOP concept of inheritance allows subclasses to reuse or inherit methods and/or variables from parent classes. The act of concealing or abstracting away a system's fundamental elements. Encapsulation is the technique of enclosing or concealing a class's secret data fields so that the customers cannot access them. Polymorphism is the process by which one type may have a number of subtypes or forms, or by which one function can have a number of variations.",3
11-21-2022 15:54:34,"Subclasses can reuse or inherit methods and/or variables from parent classes thanks to the OOP concept of inheritance. Abstraction: The practise of erasing or concealing a system's inherent details. Wrapping or masking a class's private data fields such that they are hidden from clients is the technique of encapsulation. Polymorphism is the process by which one type may take on a number of forms or subtypes, or a function may take on a number of variations.",4
11-22-2022 15:54:34,"The four guiding concepts of object-oriented programming are polymorphism, inheritance, abstraction, and encapsulation. Making use of private attributes inside of a class allows for encapsulation. It is not immediately accessible by other objects; they can only call its public functions. The technique of revealing just the elements that are pertinent to the item is called abstraction (loosely, user). Driving a vehicle, for instance, just requires the operator to utilise the ABC and steering; internal electronics or mechanical components are not required. The capacity of one item to take on the characteristics of another object is known as inheritance (child inherits the traits of its parents). The main benefit of inheritance is reuse. Literally, polymorphism implies taking on several shapes. In the world of OOP, polymorphism may be accomplished by either overriding a function or creating functions with various arguments. These four principles make up OOP.",3
11-23-2022 15:54:34,"Encapsulation: The process of essentially combining several linked data and methodologies into a single entity. Data hiding and abstraction are made possible. Restricted access to the state is essentially what data concealing is, and it's used to enforce business rules strictly.",1
11-24-2022 15:54:34,Polymorphism is an oops feature that enables users to have various versions of a thing. similar to a method with the same name but different behaviour depending on various inputs. Or similar to how a child class can save a reference to a parent class. There are typically two forms of polymorphism: Dynamic Binding (Compile Time) and Dynamic Binding (Run Time),1
11-25-2022 15:54:34,"To avoid repeatedly implementing the same functionality, inheritance uses parent class code in the child class and adheres to the DRY principle. To allow varied functions for parent and child classes, polymorphism entails accepting different forms and involves method overloading and overriding.",2
11-26-2022 15:54:34,"Abstraction, which simply refers to withholding from the user the information that is not required while allowing access to the information that is. A person starting a car, for instance, doesn't care how the car begins; all he wants to do is press the start button, and the car should start. Using distinct keywords like private, public, and protected, encapsulation aids in maintaining data security and prohibits access of data members of a class to the individual.",2
11-27-2022 15:54:34,Abstraction is the masking of internal information and operations while only displaying to the user the minimal information required for operation. The word polymorphism comes from poly and morphism. Inheritance refers to the existence of a hierarchy where sub classes can inherit the behaviours and traits of their super class. It is essentially the notion that demonstrates how one function can be carried out in several distinct ways (like overloading). Encapsulation is the process of combining data and procedures into a single entity.,3
11-28-2022 15:54:34,"The four OOP concepts are:  Abstraction: By using this method, the user may only see the most important data points while some portions of the data are concealed from them.  Encapsulation: This allows access to the data to be limited to specific software components. The method through which several classes and interfaces inside a programme can be linked to one another is called inheritance. The mechanism through which different classes within a software are connected by inheritance is known as polymorphism.",2
11-29-2022 15:54:34,"Abstraction: The idea of concealing specifics while maintaining operation. Functionality can be created using merely a meaning rather than a specific definition. A method on an object may have different implications depending on the context thanks to polymorphism, which means many forms. Inheritance: The kid class can both inherit all of the base class's properties and its own unique specialties. makes it possible to generate branches without having to duplicate the code. Encapsulation: The idea of enclosing specifics in a class or Wrapper in order to implement abstraction.",4
11-30-2022 15:54:34,Encapsulation: Encapsulation is when data and behaviour are combined into one package while keeping the implementation details hidden from the object's users. Focusing on the pertinent parts of the system under examination while omitting the extraneous aspects is known as abstraction. Polymorphism: The capacity of one object or reference variable to refer to many actual types is referred to as polymorphism.,3
12-1-2022 15:54:34,Abstraction: Focusing on the important parts of the system under examination while excluding the irrelevant aspects is referred to as abstraction. Polymorphism is the capacity of a single object or reference variable to refer to a variety of real kinds.,2
